"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Armenia","1.75","1.75000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Azerbaijan","5.44","5.44000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Americas","Bahamas","0.00","0.00000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","South-East Asia","Bangladesh","0.04","0.04000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Cameroon","0.77","0.77000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Americas","Canada","0.88","0.88000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Cabo Verde","0.60","0.60000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Central African Republic","0.30","0.30000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Eritrea","0.30","0.30000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Estonia","1.34","1.34000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Ethiopia","0.22","0.22000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Finland","0.43","0.43000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Italy","0.11","0.11000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Americas","Jamaica","0.40","0.40000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Eastern Mediterranean","Jordan","1.66","1.66000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Kenya","1.55","1.55000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Mali","0.38","0.38000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Malta","0.48","0.48000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Western Pacific","Marshall Islands","0.00","0.00000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Mauritania","0.78","0.78000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Africa","Mauritius","0.15","0.15000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Americas","Paraguay","2.17","2.17000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Western Pacific","Philippines","1.56","1.56000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Poland","0.18","0.18000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Republic of Moldova","0.95","0.95000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Europe","Spain","1.19","1.19000","","","","",""
"Total density per 100 000 population: District/rural hospitals","Published","2010","South-East Asia","Sri Lanka","0.00","0.00000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Eastern Mediterranean","Sudan","0.56","0.56000","","","","","Only public sector data"
"Total density per 100 000 population: District/rural hospitals","Published","2010","Americas","Suriname","0.19","0.19000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Armenia","1.52","1.52000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Azerbaijan","2.18","2.18000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Americas","Bahamas","0.87","0.87000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","South-East Asia","Bangladesh","0.09","0.09000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Americas","Canada","1.33","1.33000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Cabo Verde","0.00","0.00000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Central African Republic","0.11","0.11000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Chad","0.17","0.17000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Eritrea","0.11","0.11000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Estonia","0.30","0.30000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Western Pacific","Fiji","0.00","0.00000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Finland","0.88","0.88000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Israel","0.50","0.50000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Italy","1.84","1.84000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Americas","Jamaica","0.29","0.29000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Eastern Mediterranean","Jordan","0.48","0.48000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Mali","0.05","0.05000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Malta","0.24","0.24000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Western Pacific","Marshall Islands","3.70","3.70000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Mauritania","0.17","0.17000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","Mauritius","0.38","0.38000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Eastern Mediterranean","Pakistan","0.09","0.09000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Americas","Panama","0.37","0.37000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Western Pacific","Papua New Guinea","0.28","0.28000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Americas","Paraguay","0.12","0.12000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Slovenia","0.49","0.49000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Africa","South Africa","0.13","0.13000","","","","","Only public sector data"
"Total density per 100 000 population: Provincial hospitals","Published","2010","Europe","Spain","0.31","0.31000","","","","",""
"Total density per 100 000 population: Provincial hospitals","Published","2010","Eastern Mediterranean","Sudan","0.59","0.59000","","","","","Only private sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Eastern Mediterranean","Afghanistan","0.08","0.08000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Albania","0.28","0.28000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Angola","0.00","0.00000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Americas","Antigua and Barbuda","222.07","222.07000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Western Pacific","Brunei Darussalam","0.25","0.25000","","","","","Only private sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Burkina Faso","0.02","0.02000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Burundi","0.04","0.04000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Western Pacific","Cambodia","0.06","0.06000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Czechia","0.26","0.26000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Denmark","0.09","0.09000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Americas","Dominica","0.00","0.00000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Eastern Mediterranean","Egypt","0.12","0.12000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Guinea-Bissau","34.65","34.65000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Americas","Guyana","0.13","0.13000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Americas","Haiti","0.04","0.04000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Americas","Honduras","0.09","0.09000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Eastern Mediterranean","Lebanon","0.76","0.76000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Liberia","0.03","0.03000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Eastern Mediterranean","Libya","0.49","0.49000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Lithuania","1.32","1.32000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Luxembourg","0.79","0.79000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","South-East Asia","Nepal","0.04","0.04000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Netherlands (Kingdom of the)","0.77","0.77000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Americas","Nicaragua","0.10","0.10000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Niger","0.06","0.06000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","San Marino","0.00","0.00000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Eastern Mediterranean","Saudi Arabia","0.01","0.01000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Serbia","0.23","0.23000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Europe","Slovakia","0.95","0.95000","","","","","Only public sector data"
"Total density per 100 000 population: Specialized hospitals","Published","2010","Western Pacific","Vanuatu","0.42","0.42000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Eastern Mediterranean","Yemen","0.01","0.01000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Zambia","0.04","0.04000","","","","",""
"Total density per 100 000 population: Specialized hospitals","Published","2010","Africa","Zimbabwe","0.09","0.09000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Eastern Mediterranean","Afghanistan","0.10","0.10000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Bosnia and Herzegovina","5.58","5.58000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Africa","Botswana","0.50","0.50000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Western Pacific","Brunei Darussalam","2.51","2.51000","","","","","Only private sector data"
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Africa","Burkina Faso","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Czechia","4.96","4.96000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Africa","Democratic Republic of the Congo","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Denmark","13.87","13.87000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Americas","Dominica","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Africa","Guinea-Bissau","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Americas","Guyana","1.33","1.33000","","","","","Only private sector data"
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Americas","Honduras","1.18","1.18000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Hungary","1.40","1.40000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Eastern Mediterranean","Libya","5.04","5.04000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Lithuania","5.72","5.72000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Luxembourg","13.79","13.79000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Africa","Madagascar","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Western Pacific","Malaysia","3.03","3.03000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","South-East Asia","Myanmar","0.08","0.08000","","","","","Only public sector data"
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Africa","Namibia","0.88","0.88000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Netherlands (Kingdom of the)","12.22","12.22000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Western Pacific","New Zealand","9.62","9.62000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Americas","Saint Kitts and Nevis","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Americas","Saint Lucia","11.48","11.48000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Americas","Saint Vincent and the Grenadines","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Western Pacific","Samoa","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Africa","Togo","0.17","0.17000","","","","","Only private sector data"
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Western Pacific","Tonga","0.00","0.00000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Americas","Trinidad and Tobago","2.98","2.98000","","","","","Only public sector data"
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Eastern Mediterranean","Tunisia","2.10","2.10000","","","","",""
"Total density per million population: Magnetic Resonance Imaging","Published","2010","Europe","Turkiye","6.32","6.32000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Europe","Austria","28.83","28.83000","","","","","Only public sector data"
"Total density per million population: Computed tomography units","Published","2010","Europe","Azerbaijan","1.09","1.09000","","","","","Only public sector data"
"Total density per million population: Computed tomography units","Published","2010","Americas","Bahamas","14.58","14.58000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Americas","Barbados","7.32","7.32000","","","","","Only public sector data"
"Total density per million population: Computed tomography units","Published","2010","Africa","Central African Republic","0.00","0.00000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Chad","0.09","0.09000","","","","","Only private sector data"
"Total density per million population: Computed tomography units","Published","2010","Americas","Chile","12.97","12.97000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Comoros","1.36","1.36000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Fiji","3.49","3.49000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Gabon","3.99","3.99000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Gambia","1.16","1.16000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Europe","Georgia","8.73","8.73000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Americas","Jamaica","1.46","1.46000","","","","","Only public sector data"
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Japan","101.67","101.67000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Eastern Mediterranean","Jordan","6.46","6.46000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Kenya","0.27","0.27000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Kiribati","0.00","0.00000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Mauritania","1.73","1.73000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Mauritius","6.16","6.16000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Americas","Mexico","3.94","3.94000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Micronesia (Federated States of)","0.00","0.00000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Papua New Guinea","0.44","0.44000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Americas","Paraguay","1.08","1.08000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Philippines","1.15","1.15000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Europe","Poland","10.58","10.58000","","","","","Only public sector data"
"Total density per million population: Computed tomography units","Published","2010","Africa","Sierra Leone","0.34","0.34000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Singapore","9.44","9.44000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Europe","Slovenia","12.32","12.32000","","","","","Only public sector data"
"Total density per million population: Computed tomography units","Published","2010","Africa","South Africa","1.02","1.02000","","","","","Only public sector data"
"Total density per million population: Computed tomography units","Published","2010","Europe","Spain","14.11","14.11000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Americas","Uruguay","13.06","13.06000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Western Pacific","Vanuatu","0.00","0.00000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Eastern Mediterranean","Yemen","2.08","2.08000","","","","",""
"Total density per million population: Computed tomography units","Published","2010","Africa","Zambia","0.23","0.23000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Europe","Bosnia and Herzegovina","0.53","0.53000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Africa","Botswana","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Positron Emission tomography","Published","2010","Africa","Burkina Faso","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Africa","Burundi","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Europe","Denmark","5.95","5.95000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Americas","Dominica","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Americas","El Salvador","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Africa","Eritrea","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Eastern Mediterranean","Iraq","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Positron Emission tomography","Published","2010","Europe","Ireland","0.45","0.45000","","","","","Only public sector data"
"Total density per million population: Positron Emission tomography","Published","2010","Europe","Israel","0.81","0.81000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Americas","Jamaica","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Africa","Mali","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Positron Emission tomography","Published","2010","Europe","Malta","2.40","2.40000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Western Pacific","Marshall Islands","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Africa","Mauritius","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Western Pacific","Papua New Guinea","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Americas","Paraguay","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Europe","Poland","0.34","0.34000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Europe","Portugal","0.66","0.66000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Africa","South Africa","0.06","0.06000","","","","","Only public sector data"
"Total density per million population: Positron Emission tomography","Published","2010","South-East Asia","Sri Lanka","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Americas","Suriname","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","Africa","Eswatini","0.00","0.00000","","","","",""
"Total density per million population: Positron Emission tomography","Published","2010","South-East Asia","Thailand","0.07","0.07000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Angola","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","Armenia","1.29","1.29000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Americas","Bahamas","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Americas","Barbados","3.66","3.66000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Comoros","0.00","0.00000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Americas","Costa Rica","1.07","1.07000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Cote d'Ivoire","0.00","0.00000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","Croatia","5.90","5.90000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","Georgia","0.69","0.69000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Ghana","0.08","0.08000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Americas","Grenada","0.00","0.00000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Guinea","0.00","0.00000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Eastern Mediterranean","Lebanon","0.24","0.24000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Eastern Mediterranean","Libya","0.31","0.31000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","Lithuania","2.11","2.11000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","Luxembourg","17.74","17.74000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","Netherlands (Kingdom of the)","10.77","10.77000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Western Pacific","New Zealand","3.43","3.43000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Americas","Nicaragua","0.17","0.17000","","","","","Only public sector data"
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Africa","Niger","0.00","0.00000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Western Pacific","Samoa","0.00","0.00000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Europe","San Marino","0.00","0.00000","","","","",""
"Total density per million population: Gamma camera or Nuclear medicine","Published","2010","Eastern Mediterranean","Saudi Arabia","0.40","0.40000","","","","","Only public sector data"
