"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Africa","Madagascar","","0.4 [0.3–0.5]","0.40000","0.30000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Africa","Namibia","","11 [10.5–11.6]","11.00000","10.50000","11.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Western Pacific","Papua New Guinea","","1 [0.9–1.1]","1.00000","0.90000","1.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Americas","Peru","","0.4 [0.3–0.5]","0.40000","0.30000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Africa","Senegal","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Europe","Serbia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Eastern Mediterranean","Syrian Arab Republic","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Africa","United Republic of Tanzania","","4.3 [4–4.5]","4.30000","4.00000","4.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Europe","Armenia","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Brunei Darussalam","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Europe","Bulgaria","","<0.1 [<0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Cook Islands","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Africa","Cote d'Ivoire","","1.9 [1.7–2.2]","1.90000","1.70000","2.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Europe","Croatia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Americas","Guyana","","1.5 [1.3–1.7]","1.50000","1.30000","1.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Kiribati","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Lao People's Democratic Republic","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Marshall Islands","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Africa","Niger","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Singapore","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Solomon Islands","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","South-East Asia","Timor-Leste","","0.2 [0.1–0.2]","0.20000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Americas","Trinidad and Tobago","","1.1 [0.9–1.2]","1.10000","0.90000","1.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Western Pacific","Viet Nam","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2021","Africa","Zimbabwe","","11.6 [10.3–12.6]","11.60000","10.30000","12.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","South-East Asia","Bangladesh","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Americas","Barbados","","1 [0.9–1.1]","1.00000","0.90000","1.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","Belgium","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","Denmark","","0.1 [<0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","France","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","Georgia","","0.3 [0.3–0.3]","0.30000","0.30000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","South-East Asia","Indonesia","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","Ireland","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Africa","Lesotho","","21 [20–21.6]","21.00000","20.00000","21.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","Lithuania","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Africa","Mozambique","","12.1 [11.6–12.5]","12.10000","11.60000","12.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Western Pacific","Samoa","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Eastern Mediterranean","Sudan","","0.1 [0.1–0.2]","0.10000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","Turkmenistan","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Western Pacific","Tuvalu","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Europe","Ukraine","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2020","Eastern Mediterranean","United Arab Emirates","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Americas","Antigua and Barbuda","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Africa","Comoros","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Americas","El Salvador","","0.5 [0.4–0.5]","0.50000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Americas","Grenada","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Africa","Guinea","","1.5 [1.3–1.8]","1.50000","1.30000","1.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Europe","Kazakhstan","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Africa","Kenya","","4.2 [3.8–4.7]","4.20000","3.80000","4.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","South-East Asia","Nepal","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Europe","Poland","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Africa","Seychelles","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","South-East Asia","Thailand","","1.2 [1–1.4]","1.20000","1.00000","1.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Americas","Uruguay","","0.6 [0.6–0.7]","0.60000","0.60000","0.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2019","Americas","Venezuela (Bolivarian Republic of)","","0.5 [0.4–0.5]","0.50000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Europe","Austria","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Eastern Mediterranean","Bahrain","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Africa","Burkina Faso","","0.7 [0.6–0.9]","0.70000","0.60000","0.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Western Pacific","Cambodia","","0.6 [0.6–0.7]","0.60000","0.60000","0.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Americas","Cuba","","0.5 [0.5–0.6]","0.50000","0.50000","0.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Europe","Cyprus","","0.1 [0.1–0.2]","0.10000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Western Pacific","Fiji","","0.2 [0.1–0.4]","0.20000","0.10000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","South-East Asia","India","","0.2 [0.2–0.3]","0.20000","0.20000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Europe","Kyrgyzstan","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Eastern Mediterranean","Lebanon","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Africa","Mauritius","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Europe","Monaco","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Western Pacific","Niue","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Eastern Mediterranean","Oman","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Europe","Russian Federation","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Africa","Rwanda","","2.8 [2.6–3]","2.80000","2.60000","3.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Americas","Saint Lucia","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Europe","Turkiye","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2018","Africa","Zimbabwe","","13.1 [11.7–14.3]","13.10000","11.70000","14.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Europe","Albania","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Europe","Belarus","","0.4 [0.3–0.5]","0.40000","0.30000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Africa","Benin","","1 [0.8–1.2]","1.00000","0.80000","1.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Africa","Central African Republic","","3.8 [3.1–4.8]","3.80000","3.10000","4.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Western Pacific","China","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Americas","Dominica","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Africa","Ghana","","1.8 [1.5–2]","1.80000","1.50000","2.00000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Europe","Italy","","0.3 [0.2–0.3]","0.30000","0.20000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Africa","Madagascar","","0.3 [0.3–0.3]","0.30000","0.30000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Africa","Namibia","","12.5 [12.1–13.1]","12.50000","12.10000","13.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Western Pacific","Nauru","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Africa","Sao Tome and Principe","","0.6 [0.5–0.8]","0.60000","0.50000","0.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Europe","Sweden","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2017","Africa","United Republic of Tanzania","","5.2 [4.9–5.4]","5.20000","4.90000","5.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Americas","Antigua and Barbuda","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Europe","Armenia","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Europe","Bulgaria","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Western Pacific","Cook Islands","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Africa","Eritrea","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Americas","Guyana","","1.5 [1.4–1.7]","1.50000","1.40000","1.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Americas","Haiti","","1.7 [1.5–1.8]","1.70000","1.50000","1.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Western Pacific","Kiribati","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Eastern Mediterranean","Kuwait","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Africa","Mali","","1.1 [0.9–1.3]","1.10000","0.90000","1.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Western Pacific","New Zealand","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Africa","Nigeria","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Eastern Mediterranean","Qatar","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Europe","Romania","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Western Pacific","Singapore","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Western Pacific","Solomon Islands","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","South-East Asia","Timor-Leste","","0.2 [0.1–0.2]","0.20000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2016","Africa","Togo","","2.2 [1.9–2.6]","2.20000","1.90000","2.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Americas","Barbados","","1.1 [1–1.2]","1.10000","1.00000","1.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Africa","Cabo Verde","","0.8 [0.7–0.9]","0.80000","0.70000","0.90000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Americas","Canada","","0.2 [0.1–0.2]","0.20000","0.10000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Europe","Czechia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","South-East Asia","Democratic People's Republic of Korea","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Europe","Denmark","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Europe","France","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Europe","Georgia","","0.2 [0.2–0.3]","0.20000","0.20000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Eastern Mediterranean","Iran (Islamic Republic of)","","<0.1 [<0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Europe","Ireland","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Africa","Liberia","","1.3 [1.2–1.5]","1.30000","1.20000","1.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Europe","Montenegro","","<0.1 [<0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Western Pacific","Palau","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Americas","Saint Kitts and Nevis","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Americas","Saint Lucia","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Western Pacific","Samoa","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Europe","San Marino","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Eastern Mediterranean","Sudan","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2015","Western Pacific","Tuvalu","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Europe","Andorra","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Americas","Bolivia (Plurinational State of)","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Europe","Bosnia and Herzegovina","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Western Pacific","China","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Africa","Comoros","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Americas","Ecuador","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Americas","El Salvador","","0.5 [0.5–0.6]","0.50000","0.50000","0.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Africa","Equatorial Guinea","","6.5 [5.3–7.7]","6.50000","5.30000","7.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Western Pacific","Japan","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Western Pacific","Malaysia","","0.4 [0.3–0.4]","0.40000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","South-East Asia","Nepal","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Europe","Netherlands (Kingdom of the)","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Europe","Poland","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Africa","Sierra Leone","","1.6 [1.4–1.8]","1.60000","1.40000","1.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Eastern Mediterranean","Syrian Arab Republic","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Europe","United Kingdom of Great Britain and Northern Ireland","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Americas","Uruguay","","0.5 [0.5–0.6]","0.50000","0.50000","0.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2014","Americas","Venezuela (Bolivarian Republic of)","","0.5 [0.4–0.5]","0.50000","0.40000","0.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Austria","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Azerbaijan","","0.1 [0.1–0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","Burkina Faso","","1 [0.9–1.1]","1.00000","0.90000","1.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","Burundi","","1.4 [1.2–1.6]","1.40000","1.20000","1.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","Cote d'Ivoire","","3 [2.8–3.4]","3.00000","2.80000","3.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","Eswatini","","29.5 [29.1–29.8]","29.50000","29.10000","29.80000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Finland","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Americas","Honduras","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Hungary","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","South-East Asia","India","","0.3 [0.2–0.3]","0.30000","0.20000","0.30000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Kyrgyzstan","","0.2 [0.2–0.2]","0.20000","0.20000","0.20000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Eastern Mediterranean","Lebanon","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","Mauritius","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Monaco","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","Rwanda","","3.4 [3.2–3.6]","3.40000","3.20000","3.60000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Slovenia","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","South Africa","","18.3 [12.9–24.1]","18.30000","12.90000","24.10000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Western Pacific","Tonga","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Americas","Trinidad and Tobago","","1.3 [1.2–1.4]","1.30000","1.20000","1.40000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Europe","Turkiye","","No data","","","","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2013","Africa","Zambia","","13.2 [13–13.5]","13.20000","13.00000","13.50000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2012","Europe","Albania","","<0.1 [<0.1–<0.1]","0.10000","0.10000","0.10000","","",""
